Starting price: $10.00
On day 1, price is: $10.91
On day 322, price is: $451.19
On day 323, price is: $444.42
On day 324, price is: $423.03
On day 325, price is: $438.49
On day 326, price is: $433.81
On day 327, price is: $413.61
On day 328, price is: $409.67
On day 329, price is: $401.15
On day 330, price is: $414.42
On day 331, price is: $442.09
On day 332, price is: $451.22
On day 333, price is: $437.00
On day 334, price is: $415.64
On day 335, price is: $432.42
On day 336, price is: $423.97
On day 337, price is: $417.76
On day 338, price is: $452.94
On day 339, price is: $493.59
On day 340, price is: $533.17
On day 341, price is: $544.91
On day 342, price is: $573.98
On day 343, price is: $548.79
On day 344, price is: $596.87
On day 345, price is: $600.49
On day 346, price is: $604.30
On day 347, price is: $633.67
On day 348, price is: $662.66
On day 349, price is: $683.75
On day 350, price is: $730.69
On day 351, price is: $714.21
On day 352, price is: $686.74
On day 353, price is: $753.46
On day 354, price is: $730.88
On day 355, price is: $713.32
On day 356, price is: $696.66
On day 357, price is: $691.04
On day 358, price is: $669.63
On day 359, price is: $687.91
On day 360, price is: $663.33
On day 361, price is: $650.77
On day 362, price is: $654.35
On day 363, price is: $689.83
On day 364, price is: $680.32
On day 365, price is: $662.12
On day 366, price is: $695.94
On day 367, price is: $687.22
On day 368, price is: $664.31
On day 369, price is: $688.14
On day 370, price is: $737.08
On day 371, price is: $775.82
On day 372, price is: $748.45
On day 373, price is: $765.43
On day 374, price is: $834.79
On day 375, price is: $793.78
On day 376, price is: $842.48
On day 377, price is: $810.47
On day 378, price is: $803.11
On day 379, price is: $882.17
On day 380, price is: $871.60
On day 381, price is: $906.15
On day 382, price is: $914.74
On day 383, price is: $911.08
On day 384, price is: $889.73
On day 385, price is: $874.91
On day 386, price is: $873.41
On day 387, price is: $903.23
On day 388, price is: $974.77
On day 389, price is: $993.98
On day 390, price is: $1,067.69
